PolParty,PolViews,Race,Gender,HighestDegree,Age,Children,MaritalStatus,LaborForceStatus
Republican,Moderate,White,Female,HighSchool,51,4,Divorced,FullTime
Democrat,Moderate,White,Female,HighSchool,54,3,Married,PartTime
Independent,Conservative,White,Male,HighSchool,37,2,Married,FullTime
Independent,Moderate,White,Male,HighSchool,27,1,Married,PartTime
Independent,Conservative,White,Male,HighSchool,53,3,Married,UnemplLaidoff
Republican,Conservative,White,Female,Graduate,44,2,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,72,1,Married,FullTime
Independent,Moderate,White,Male,Graduate,44,3,Divorced,FullTime
Independent,Moderate,White,Male,Bachelor,37,2,Married,FullTime
Democrat,Moderate,White,Male,Bachelor,49,2,Married,FullTime
Republican,Conservative,White,Female,Graduate,52,6,Widowed,FullTime
Independent,Conservative,White,Male,HighSchool,32,3,Divorced,UnemplLaidoff
Independent,Liberal,White,Female,Graduate,40,0,NeverMarried,FullTime
Independent,Conservative,White,Male,HighSchool,27,2,Married,InSchool
Democrat,Liberal,White,Male,HighSchool,31,0,Married,FullTime
Independent,Conservative,White,Male,SomeHS,82,0,Married,Retired
Republican,Conservative,White,Female,SomeHS,80,7,Widowed,StayAtHome
Independent,Liberal,White,Male,HighSchool,23,0,Married,FullTime
Democrat,Moderate,White,Female,HighSchool,66,3,Married,StayAtHome
Republican,Conservative,White,Male,SomeHS,63,3,Married,Retired
Independent,Conservative,White,Female,Bachelor,34,3,Married,StayAtHome
Independent,Moderate,White,Male,HighSchool,26,1,Married,UnemplLaidoff
Independent,Moderate,White,Female,HighSchool,31,2,Divorced,StayAtHome
Independent,Conservative,White,Male,SomeHS,62,1,Married,FullTime
Democrat,Moderate,White,Female,HighSchool,62,5,Widowed,StayAtHome
Democrat,Moderate,White,Female,HighSchool,45,3,Married,PartTime
Democrat,Liberal,White,Male,HighSchool,25,2,Married,FullTime
Democrat,Liberal,White,Male,HighSchool,61,3,Married,UnemplLaidoff
Democrat,Conservative,White,Male,SomeHS,68,0,Married,Retired
Democrat,Liberal,White,Male,JrCol,35,0,NeverMarried,UnemplLaidoff
Democrat,Moderate,White,Male,HighSchool,75,3,Married,Retired
Democrat,Moderate,White,Female,HighSchool,42,3,Divorced,StayAtHome
Democrat,Conservative,White,Male,HighSchool,42,1,Married,FullTime
Independent,Moderate,White,Male,HighSchool,47,4,Married,FullTime
Independent,Moderate,White,Male,HighSchool,67,1,Married,Retired
Democrat,Conservative,White,Female,SomeHS,73,6,Married,StayAtHome
Independent,Conservative,White,Male,SomeHS,74,0,NeverMarried,StayAtHome
Democrat,Conservative,White,Female,SomeHS,18,0,NeverMarried,PartTime
Republican,Liberal,White,Female,HighSchool,81,0,Widowed,StayAtHome
Democrat,Liberal,White,Male,SomeHS,89,0,Widowed,StayAtHome
Independent,Conservative,White,Male,JrCol,25,0,NeverMarried,FullTime
Republican,Conservative,White,Female,HighSchool,66,5,Widowed,StayAtHome
Republican,Conservative,White,Female,SomeHS,84,1,Widowed,StayAtHome
Democrat,Conservative,White,Female,SomeHS,65,4,Widowed,StayAtHome
Republican,Conservative,White,Male,HighSchool,35,0,Married,FullTime
Independent,Moderate,White,Male,HighSchool,21,0,NeverMarried,PartTime
Democrat,Liberal,White,Male,HighSchool,69,1,Married,Retired
Independent,Moderate,White,Male,Bachelor,29,0,NeverMarried,FullTime
Democrat,Moderate,White,Female,SomeHS,74,5,Divorced,StayAtHome
Independent,Moderate,White,Male,HighSchool,39,2,Married,Unempl
Democrat,Moderate,Black,Male,HighSchool,27,1,Married,FullTime
Independent,Moderate,White,Male,SomeHS,40,4,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,54,2,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,67,4,Married,Retired
Democrat,Moderate,White,Female,SomeHS,43,2,Separated,FullTime
Democrat,Moderate,White,Male,SomeHS,77,5,Married,StayAtHome
Republican,Moderate,White,Female,SomeHS,40,2,Married,StayAtHome
Democrat,Moderate,Black,Female,HighSchool,20,1,NeverMarried,StayAtHome
Democrat,Liberal,Black,Female,SomeHS,37,4,Widowed,FullTime
Independent,Conservative,White,Male,SomeHS,86,7,Married,Retired
Independent,Liberal,Black,Male,HighSchool,33,1,NeverMarried,FullTime
Republican,Conservative,White,Male,SomeHS,77,3,Widowed,PartTime
Independent,Moderate,White,Female,Bachelor,26,0,Married,FullTime
Independent,Moderate,White,Female,HighSchool,39,0,Divorced,FullTime
Independent,Conservative,White,Male,HighSchool,65,4,Married,Retired
Independent,Moderate,White,Female,JrCol,22,0,NeverMarried,FullTime
Independent,Moderate,White,Female,HighSchool,35,1,Married,StayAtHome
Independent,Moderate,White,Female,JrCol,37,3,Married,StayAtHome
Democrat,Conservative,White,Male,Graduate,43,4,Married,FullTime
Democrat,Moderate,White,Female,HighSchool,49,3,Married,PartTime
Democrat,Moderate,White,Female,SomeHS,64,0,Married,StayAtHome
Democrat,Conservative,White,Male,Bachelor,58,0,Married,FullTime
Independent,Conservative,White,Female,JrCol,29,1,Divorced,FullTime
Republican,Conservative,White,Male,Graduate,56,5,Married,FullTime
Independent,Moderate,White,Male,HighSchool,66,4,Married,Retired
Independent,Moderate,White,Male,HighSchool,30,2,Married,FullTime
Democrat,Liberal,White,Male,HighSchool,22,0,NeverMarried,PartTime
Democrat,Liberal,White,Female,SomeHS,77,3,Widowed,Retired
Independent,Moderate,White,Male,Bachelor,27,1,Married,FullTime
Republican,Conservative,White,Female,HighSchool,70,2,Married,Retired
Independent,Moderate,White,Male,SomeHS,83,5,Married,Retired
Independent,Conservative,White,Male,HighSchool,29,0,NeverMarried,PartTime
Independent,Conservative,White,Female,HighSchool,41,4,Married,PartTime
Republican,Conservative,White,Female,HighSchool,32,3,Divorced,PartTime
Democrat,Liberal,White,Male,HighSchool,45,3,Married,StayAtHome
Republican,Conservative,White,Male,HighSchool,26,2,Married,FullTime
Independent,Moderate,White,Male,SomeHS,57,5,Married,FullTime
Democrat,Liberal,White,Male,HighSchool,25,2,Divorced,PartTime
Republican,Conservative,White,Male,HighSchool,36,4,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,38,3,Married,FullTime
Independent,Moderate,White,Male,SomeHS,60,0,NeverMarried,UnemplLaidoff
Republican,Liberal,White,Male,HighSchool,22,0,NeverMarried,FullTime
Democrat,Moderate,White,Male,HighSchool,30,1,Divorced,FullTime
Democrat,Moderate,Black,Female,SomeHS,60,8,Widowed,StayAtHome
Democrat,Moderate,White,Male,SomeHS,34,1,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,24,0,NeverMarried,FullTime
Republican,Liberal,White,Male,HighSchool,27,1,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,61,3,Married,Retired
Republican,Moderate,White,Male,SomeHS,49,4,Divorced,FullTime
Independent,Liberal,White,Male,HighSchool,31,0,Married,FullTime
Democrat,Conservative,White,Male,SomeHS,58,0,Married,PartTime
Independent,Conservative,White,Female,HighSchool,24,0,Married,FullTime
Independent,Liberal,White,Male,HighSchool,29,1,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,59,1,Married,FullTime
Independent,Liberal,White,Male,SomeHS,33,0,Married,UnemplLaidoff
Democrat,Liberal,White,Male,SomeHS,28,1,Married,PartTime
Independent,Moderate,White,Female,SomeHS,67,0,Widowed,StayAtHome
Democrat,Moderate,White,Male,SomeHS,43,4,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,61,3,Married,FullTime
Republican,Moderate,White,Male,HighSchool,75,1,Widowed,Retired
Republican,Moderate,White,Female,HighSchool,46,4,Married,FullTime
Democrat,Liberal,White,Female,Bachelor,25,1,Married,StayAtHome
Democrat,Moderate,Black,Male,SomeHS,53,4,Married,FullTime
Independent,Conservative,White,Male,HighSchool,74,2,Married,Retired
Democrat,Moderate,White,Male,HighSchool,27,1,Married,FullTime
Democrat,Conservative,White,Male,Graduate,28,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,40,1,Married,FullTime
Democrat,Liberal,White,Female,Bachelor,24,0,NeverMarried,PartTime
Independent,Moderate,White,Female,HighSchool,20,0,NeverMarried,InSchool
Democrat,Liberal,White,Male,Bachelor,30,0,NeverMarried,FullTime
Independent,Moderate,White,Female,Bachelor,28,0,NeverMarried,FullTime
Democrat,Liberal,White,Male,HighSchool,29,0,NeverMarried,PartTime
Independent,Conservative,White,Male,Bachelor,42,1,Divorced,FullTime
Independent,Moderate,Other,Female,Graduate,41,4,Married,Unempl
Democrat,Moderate,Black,Male,HighSchool,52,5,Separated,PartTime
Democrat,Conservative,White,Female,HighSchool,50,3,Divorced,FullTime
Independent,Moderate,White,Female,HighSchool,27,3,Married,StayAtHome
Democrat,Conservative,White,Female,Bachelor,27,2,Married,FullTime
Democrat,Liberal,Black,Female,HighSchool,36,0,Married,FullTime
Independent,Moderate,White,Female,HighSchool,22,0,NeverMarried,FullTime
Republican,Moderate,White,Male,Graduate,63,6,Married,FullTime
Independent,Conservative,White,Male,HighSchool,27,0,NeverMarried,FullTime
Democrat,Conservative,White,Female,HighSchool,19,0,NeverMarried,PartTime
Independent,Conservative,White,Female,HighSchool,26,0,Divorced,UnemplLaidoff
Democrat,Moderate,Black,Female,HighSchool,49,0,NeverMarried,FullTime
Republican,Liberal,White,Male,HighSchool,36,3,Married,FullTime
Democrat,Conservative,White,Male,JrCol,48,2,Married,FullTime
Republican,Conservative,White,Male,Bachelor,51,1,Married,FullTime
Independent,Liberal,White,Male,HighSchool,34,2,Married,FullTime
Republican,Conservative,White,Male,HighSchool,67,0,Divorced,Retired
Republican,Conservative,White,Male,HighSchool,28,0,NeverMarried,FullTime
Democrat,Liberal,White,Male,Graduate,30,0,Married,FullTime
Democrat,Moderate,White,Male,Bachelor,30,0,NeverMarried,FullTime
Independent,Liberal,White,Female,Graduate,70,0,NeverMarried,PartTime
Democrat,Moderate,White,Female,HighSchool,44,2,Widowed,FullTime
Independent,Liberal,White,Male,Bachelor,31,0,Married,FullTime
Republican,Liberal,White,Female,HighSchool,42,2,Married,PartTime
Independent,Moderate,White,Male,Bachelor,35,1,Married,FullTime
Republican,Moderate,White,Female,Bachelor,24,0,Married,FullTime
Republican,Conservative,White,Female,HighSchool,33,1,Married,StayAtHome
Democrat,Liberal,White,Male,HighSchool,47,4,Separated,FullTime
Democrat,Moderate,White,Male,SomeHS,65,3,Married,UnemplLaidoff
Independent,Liberal,White,Male,HighSchool,29,0,NeverMarried,FullTime
Democrat,Moderate,White,Male,Graduate,27,0,NeverMarried,FullTime
Independent,Liberal,White,Male,HighSchool,37,0,Separated,UnemplLaidoff
Democrat,Conservative,White,Female,HighSchool,61,2,Widowed,Retired
Independent,Conservative,White,Male,HighSchool,49,4,Married,FullTime
Democrat,Liberal,White,Male,Bachelor,27,0,Married,PartTime
Democrat,Moderate,White,Female,SomeHS,85,7,Widowed,StayAtHome
Independent,Liberal,Black,Male,SomeHS,63,7,Widowed,Retired
Independent,Liberal,Black,Female,SomeHS,72,0,NeverMarried,Retired
Democrat,Conservative,White,Male,SomeHS,31,1,Married,UnemplLaidoff
Democrat,Liberal,White,Male,HighSchool,32,2,Married,FullTime
Republican,Moderate,White,Male,HighSchool,49,4,Divorced,FullTime
Democrat,Moderate,White,Male,HighSchool,23,2,Married,UnemplLaidoff
Republican,Liberal,White,Male,HighSchool,25,2,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,61,2,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,45,1,Married,UnemplLaidoff
Independent,Moderate,Black,Female,HighSchool,39,7,Married,PartTime
Independent,Conservative,Black,Male,HighSchool,32,5,Married,FullTime
Democrat,Conservative,Black,Male,SomeHS,46,6,Divorced,PartTime
Democrat,Conservative,White,Male,HighSchool,88,0,Married,Retired
Democrat,Conservative,Other,Female,Bachelor,41,3,Divorced,FullTime
Independent,Conservative,White,Male,HighSchool,24,0,NeverMarried,FullTime
Republican,Conservative,White,Male,Graduate,41,2,Married,FullTime
Democrat,Liberal,White,Male,Graduate,40,2,Married,FullTime
Democrat,Liberal,White,Female,HighSchool,36,2,Married,StayAtHome
Democrat,Conservative,White,Male,SomeHS,72,1,Married,FullTime
Democrat,Moderate,White,Female,SomeHS,39,2,Married,StayAtHome
Democrat,Moderate,White,Male,JrCol,29,2,Married,FullTime
Republican,Conservative,White,Female,Bachelor,28,0,Married,FullTime
Republican,Moderate,White,Male,HighSchool,24,0,Married,FullTime
Democrat,Conservative,White,Male,Bachelor,49,2,Married,FullTime
Republican,Liberal,White,Male,HighSchool,38,2,Married,FullTime
Independent,Conservative,White,Female,Bachelor,26,0,NeverMarried,Unempl
Independent,Conservative,White,Male,SomeHS,53,3,Married,PartTime
Independent,Moderate,White,Male,HighSchool,34,1,Married,FullTime
Republican,Conservative,White,Male,Graduate,41,5,Married,FullTime
Democrat,Liberal,White,Male,Graduate,64,2,Married,FullTime
Democrat,Moderate,White,Male,Bachelor,47,3,Married,FullTime
Democrat,Moderate,Black,Male,SomeHS,75,4,Married,PartTime
Independent,Liberal,White,Male,HighSchool,29,0,Married,FullTime
Independent,Moderate,White,Female,HighSchool,23,0,NeverMarried,FullTime
Independent,Liberal,White,Male,HighSchool,47,0,NeverMarried,UnemplLaidoff
Independent,Moderate,White,Female,HighSchool,47,0,Married,FullTime
Republican,Moderate,White,Female,HighSchool,59,5,Widowed,FullTime
Independent,Moderate,White,Male,HighSchool,29,3,Married,PartTime
Democrat,Liberal,White,Male,HighSchool,32,0,NeverMarried,StayAtHome
Independent,Liberal,White,Male,HighSchool,38,2,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,66,2,Married,Retired
Independent,Moderate,White,Male,JrCol,49,5,Married,FullTime
Independent,Conservative,White,Male,SomeHS,19,0,NeverMarried,PartTime
Republican,Moderate,White,Male,HighSchool,70,2,Married,FullTime
Independent,Moderate,White,Female,Bachelor,37,2,Married,PartTime
Democrat,Liberal,White,Female,Graduate,37,0,Separated,FullTime
Republican,Conservative,White,Female,SomeHS,68,1,Widowed,StayAtHome
Democrat,Moderate,White,Male,HighSchool,54,6,Married,FullTime
Independent,Conservative,White,Female,HighSchool,43,3,Divorced,FullTime
Republican,Liberal,White,Male,JrCol,28,1,Married,FullTime
Independent,Liberal,White,Male,HighSchool,22,0,NeverMarried,FullTime
Democrat,Moderate,White,Female,HighSchool,43,4,Married,PartTime
Independent,Liberal,White,Female,HighSchool,23,0,NeverMarried,FullTime
Independent,Conservative,Black,Female,HighSchool,34,1,Divorced,PartTime
Democrat,Moderate,Black,Female,SomeHS,27,1,NeverMarried,StayAtHome
Democrat,Moderate,Black,Female,SomeHS,28,4,Separated,StayAtHome
Democrat,Conservative,Black,Female,HighSchool,48,5,Married,StayAtHome
Democrat,Moderate,White,Female,HighSchool,54,3,Married,FullTime
Independent,Moderate,White,Male,HighSchool,64,4,Married,FullTime
Republican,Conservative,White,Male,HighSchool,58,3,Married,FullTime
Independent,Moderate,White,Male,HighSchool,38,3,Married,FullTime
Independent,Moderate,White,Male,HighSchool,46,2,Divorced,FullTime
Democrat,Liberal,White,Male,Graduate,54,2,Married,FullTime
Independent,Moderate,White,Female,SomeHS,45,3,Widowed,StayAtHome
Republican,Moderate,White,Male,SomeHS,76,3,Married,FullTime
Republican,Conservative,White,Male,JrCol,42,1,Married,FullTime
Republican,Moderate,White,Male,SomeHS,60,2,Married,FullTime
Independent,Moderate,White,Male,HighSchool,59,8,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,28,2,Married,UnemplLaidoff
Democrat,Moderate,White,Male,HighSchool,28,2,Married,FullTime
Republican,Conservative,White,Male,HighSchool,52,3,Married,FullTime
Republican,Conservative,White,Male,Bachelor,53,2,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,39,1,Married,FullTime
Republican,Conservative,White,Male,JrCol,35,2,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,48,0,NeverMarried,FullTime
Independent,Conservative,White,Male,HighSchool,34,2,Married,FullTime
Independent,Moderate,White,Female,HighSchool,31,2,Married,StayAtHome
Democrat,Conservative,White,Male,JrCol,44,3,Married,FullTime
Independent,Moderate,White,Female,SomeHS,76,3,Separated,Retired
Independent,Liberal,White,Male,SomeHS,31,1,Divorced,UnemplLaidoff
Democrat,Conservative,White,Male,SomeHS,56,8,Separated,FullTime
Republican,Conservative,White,Male,Bachelor,37,3,Married,FullTime
Democrat,Liberal,White,Male,Bachelor,40,1,Married,FullTime
Independent,Liberal,White,Male,SomeHS,24,2,Married,UnemplLaidoff
Democrat,Moderate,White,Male,HighSchool,50,4,Married,FullTime
Democrat,Liberal,White,Male,SomeHS,61,4,Married,FullTime
Democrat,Liberal,Black,Female,HighSchool,31,0,Separated,StayAtHome
Independent,Moderate,Black,Male,SomeHS,71,8,Married,Retired
Democrat,Liberal,Black,Female,SomeHS,32,5,Separated,StayAtHome
Democrat,Moderate,Black,Male,SomeHS,44,2,Divorced,UnemplLaidoff
Republican,Conservative,White,Male,HighSchool,38,2,Married,FullTime
Republican,Moderate,White,Male,HighSchool,65,1,Married,FullTime
Democrat,Liberal,White,Female,HighSchool,33,2,Married,FullTime
Democrat,Liberal,Black,Female,HighSchool,26,0,NeverMarried,FullTime
Democrat,Conservative,White,Female,SomeHS,74,1,Widowed,Retired
Democrat,Conservative,Black,Female,SomeHS,67,2,Married,StayAtHome
Republican,Moderate,White,Female,HighSchool,28,2,Married,PartTime
Independent,Conservative,White,Male,HighSchool,22,1,Married,FullTime
Independent,Moderate,White,Female,HighSchool,27,2,Separated,FullTime
Republican,Conservative,White,Male,HighSchool,31,1,Married,FullTime
Democrat,Conservative,White,Male,Bachelor,64,5,Married,FullTime
Republican,Conservative,White,Female,JrCol,23,0,NeverMarried,FullTime
Republican,Conservative,White,Male,Bachelor,38,2,Married,FullTime
Independent,Conservative,White,Female,SomeHS,59,8,Married,FullTime
Democrat,Moderate,White,Male,SomeHS,23,1,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,27,0,NeverMarried,FullTime
Independent,Conservative,White,Male,Bachelor,36,1,Married,FullTime
Republican,Moderate,White,Male,Bachelor,34,1,Married,Retired
Democrat,Conservative,White,Male,SomeHS,62,2,Married,FullTime
Independent,Liberal,White,Female,SomeHS,26,3,Divorced,StayAtHome
Independent,Liberal,White,Female,Bachelor,32,1,NeverMarried,FullTime
Democrat,Moderate,Black,Female,HighSchool,32,3,Married,FullTime
Democrat,Moderate,White,Female,HighSchool,63,1,Widowed,FullTime
Democrat,Moderate,White,Male,HighSchool,41,3,Married,UnemplLaidoff
Republican,Moderate,White,Female,HighSchool,26,0,Married,FullTime
Independent,Conservative,White,Male,HighSchool,53,4,Married,FullTime
Democrat,Moderate,White,Female,SomeHS,73,0,Widowed,StayAtHome
Independent,Moderate,White,Male,HighSchool,67,0,Married,Retired
Independent,Moderate,White,Male,HighSchool,42,0,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,28,1,Married,FullTime
Democrat,Liberal,White,Male,HighSchool,30,1,Married,UnemplLaidoff
Independent,Conservative,White,Male,Bachelor,32,2,Married,FullTime
Republican,Conservative,White,Female,HighSchool,30,1,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,27,2,Married,FullTime
Independent,Conservative,White,Male,SomeHS,49,4,Married,FullTime
Democrat,Moderate,White,Female,SomeHS,18,0,NeverMarried,InSchool
Democrat,Conservative,White,Male,SomeHS,39,3,Married,Unempl
Democrat,Conservative,Black,Female,SomeHS,45,3,Widowed,FullTime
Democrat,Liberal,Black,Female,HighSchool,52,3,Divorced,PartTime
Independent,Conservative,White,Male,HighSchool,40,3,Divorced,FullTime
Independent,Conservative,White,Male,Bachelor,32,0,Married,FullTime
Independent,Moderate,White,Male,SomeHS,55,0,Married,FullTime
Democrat,Moderate,Black,Female,HighSchool,28,2,Married,FullTime
Independent,Liberal,Black,Female,SomeHS,29,3,Separated,FullTime
Republican,Conservative,White,Female,Bachelor,72,0,NeverMarried,Retired
Republican,Conservative,White,Female,Bachelor,35,1,Married,FullTime
Republican,Conservative,White,Female,SomeHS,84,1,Widowed,Retired
Independent,Conservative,White,Male,Graduate,85,0,Widowed,Retired
Democrat,Moderate,White,Female,SomeHS,25,0,Married,PartTime
Independent,Moderate,White,Male,Bachelor,28,1,Married,FullTime
Independent,Liberal,White,Male,HighSchool,41,2,Married,FullTime
Independent,Conservative,White,Female,SomeHS,43,8,Divorced,StayAtHome
Democrat,Moderate,White,Male,SomeHS,72,3,Married,Retired
Democrat,Conservative,White,Female,Graduate,34,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,31,1,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,21,0,NeverMarried,FullTime
Democrat,Moderate,White,Male,SomeHS,72,7,Married,Retired
Democrat,Moderate,White,Male,SomeHS,63,2,Married,FullTime
Independent,Conservative,White,Male,HighSchool,26,1,Married,PartTime
Independent,Moderate,White,Male,HighSchool,30,1,Married,FullTime
Democrat,Conservative,White,Male,Bachelor,32,2,Married,FullTime
Independent,Liberal,White,Female,SomeHS,39,8,NeverMarried,StayAtHome
Independent,Moderate,White,Male,HighSchool,25,1,Married,FullTime
Independent,Conservative,White,Male,Bachelor,39,1,Married,FullTime
Independent,Liberal,White,Male,HighSchool,19,0,NeverMarried,FullTime
Independent,Liberal,White,Male,HighSchool,25,1,Married,FullTime
Republican,Moderate,Black,Female,SomeHS,24,1,NeverMarried,StayAtHome
Democrat,Moderate,Other,Female,HighSchool,21,0,NeverMarried,PartTime
Democrat,Liberal,Black,Female,JrCol,51,1,Married,FullTime
Democrat,Moderate,Black,Male,HighSchool,32,1,Married,FullTime
Democrat,Moderate,Other,Female,HighSchool,44,2,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,27,0,NeverMarried,FullTime
Democrat,Conservative,White,Female,Bachelor,76,0,Widowed,Retired
Independent,Moderate,White,Female,HighSchool,43,4,Married,StayAtHome
Independent,Liberal,White,Female,HighSchool,34,2,Married,PartTime
Republican,Liberal,White,Female,HighSchool,33,2,Married,StayAtHome
Democrat,Liberal,White,Male,SomeHS,80,1,Married,Retired
Independent,Conservative,White,Male,HighSchool,83,2,Married,Retired
Republican,Conservative,White,Male,Bachelor,68,2,Married,FullTime
Republican,Conservative,White,Male,Bachelor,53,2,Married,FullTime
Republican,Conservative,White,Male,Bachelor,52,1,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,73,4,Widowed,Retired
Republican,Liberal,White,Male,HighSchool,35,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,25,0,NeverMarried,FullTime
Independent,Conservative,Other,Female,Bachelor,34,1,Married,FullTime
Republican,Conservative,White,Male,HighSchool,49,1,Married,FullTime
Independent,Moderate,Other,Female,Bachelor,44,2,Married,PartTime
Republican,Conservative,White,Female,Bachelor,60,3,Married,FullTime
Republican,Conservative,White,Male,Bachelor,34,1,Divorced,FullTime
Independent,Moderate,White,Female,HighSchool,56,2,Married,PartTime
Republican,Conservative,White,Male,Graduate,36,2,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,68,4,Widowed,Retired
Democrat,Conservative,White,Female,HighSchool,55,2,Widowed,StayAtHome
Independent,Conservative,Black,Female,SomeHS,26,3,NeverMarried,StayAtHome
Independent,Conservative,Other,Female,HighSchool,19,1,NeverMarried,PartTime
Republican,Moderate,Black,Male,SomeHS,25,0,NeverMarried,PartTime
Independent,Liberal,Black,Female,HighSchool,28,1,NeverMarried,UnemplLaidoff
Republican,Conservative,White,Female,SomeHS,89,1,Widowed,Retired
Independent,Conservative,White,Female,SomeHS,85,7,Widowed,Retired
Independent,Moderate,White,Female,HighSchool,36,3,Separated,StayAtHome
Independent,Moderate,Black,Female,HighSchool,42,3,Married,StayAtHome
Independent,Conservative,White,Male,HighSchool,65,3,Married,PartTime
Republican,Conservative,White,Female,HighSchool,57,2,Married,FullTime
Independent,Moderate,White,Male,HighSchool,75,4,Married,Retired
Republican,Conservative,Black,Female,HighSchool,55,1,Married,FullTime
Republican,Conservative,White,Female,Bachelor,39,2,Married,FullTime
Republican,Moderate,White,Female,SomeHS,39,0,Married,PartTime
Republican,Conservative,White,Female,HighSchool,78,0,Widowed,Retired
Independent,Liberal,White,Female,HighSchool,27,2,NeverMarried,FullTime
Democrat,Moderate,White,Female,SomeHS,72,3,Married,Retired
Independent,Conservative,White,Female,HighSchool,35,1,NeverMarried,PartTime
Republican,Moderate,White,Female,HighSchool,48,3,Divorced,FullTime
Republican,Conservative,White,Male,Bachelor,40,2,Separated,FullTime
Republican,Conservative,White,Female,HighSchool,89,4,Widowed,Retired
Independent,Moderate,White,Female,HighSchool,39,2,Married,StayAtHome
Independent,Liberal,White,Male,HighSchool,22,1,NeverMarried,FullTime
Independent,Moderate,Other,Female,HighSchool,21,0,NeverMarried,PartTime
Democrat,Liberal,White,Female,HighSchool,44,2,Divorced,FullTime
Independent,Conservative,White,Female,SomeHS,43,2,Married,StayAtHome
Republican,Conservative,White,Male,Bachelor,24,0,Married,FullTime
Republican,Conservative,White,Male,HighSchool,45,3,Married,FullTime
Democrat,Moderate,White,Female,Bachelor,27,1,Married,FullTime
Republican,Moderate,White,Female,HighSchool,26,1,NeverMarried,FullTime
Republican,Conservative,White,Female,HighSchool,53,3,Married,UnemplLaidoff
Republican,Moderate,White,Male,HighSchool,34,2,Married,FullTime
Republican,Conservative,White,Female,HighSchool,40,3,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,54,4,Married,FullTime
Republican,Conservative,White,Male,HighSchool,62,4,Married,Retired
Democrat,Conservative,White,Male,SomeHS,62,5,Married,Retired
